KAIBOT 关节SDO对象字典
索引	子索引	数据长度	描述
0x0E	2	R/W	参数P3
0x0F	2	R/W	参数P4
0x10	2	R/W	负载速度反馈滤波器类型和使能
0x11	2	R/W	参数P1
0x12	2	R/W	参数P2
0x13	2	R/W	参数P3
0x14	2	R/W	参数P4

2.16 0x202A - 扭矩参考滤波器
子索引	数据长度	访问	描述
0x01	2	R/W	扭矩参考01滤波器类型和使能
0x02	2	R/W	参数P1
0x03	2	R/W	参数P2
0x04	2	R/W	参数P3
0x05	2	R/W	参数P4
0x06	2	R/W	扭矩参考02滤波器类型和使能
0x07	2	R/W	参数P1
0x08	2	R/W	参数P2
0x09	2	R/W	参数P3
0x0A	2	R/W	参数P4

2.17 0x202B - 电流参考滤波器
子索引	数据长度	访问	描述
0x01	2	R/W	电流参考01滤波器类型和使能
0x02	2	R/W	参数P1
0x03	2	R/W	参数P2
0x04	2	R/W	参数P3
0x05	2	R/W	参数P4
0x06	2	R/W	电流参考02滤波器类型和使能
0x07	2	R/W	参数P1
0x08	2	R/W	参数P2
0x09	2	R/W	参数P3
0x0A	2	R/W	参数P4

2.18 0x202D - 信号注入
子索引	数据长度	访问	描述
0x01	2	R/W	信号幅度
0x02	2	R/W	信号频率
0x03	2	R/W	信号偏移
0x04	2	R/W	信号类型
0x05	2	R/W	注入点
0x07	2	R/W	信号循环数
0x08	2	R/W	信号斜坡下降时间 (ms)
0x09	2	R	扭矩传感器校准命令参考
0x0A	2	R/W	强制电气角度使能

2.19 0x202E - 测试和识别参数
子索引	数据长度	访问	描述
0x01	2	R/W	VF速度标幺值
0x02	2	R/W	VF上升时间
0x03	2	R/W	惯量识别扭矩峰值
0x04	2	R/W	惯量识别速度检查点1
0x05	2	R/W	惯量识别速度检查点2
0x06	2	R/W	惯量识别速度检查点3
0x07	2	R/W	FR幅度
0x08	2	R/W	FR起始频率
0x09	2	R/W	FR结束频率
0x0A	2	R/W	FR时间
0x0B	2	R/W	-
0x0C	2	R/W	-
11	2	R/W	-
12	2	R/W	-

2.20 0x202F - 采样配置
子索引	数据长度	访问	描述
0x01	2	R/W	采样率
0x02	2	R/W	采样通道数
0x03	2	R/W	通道1选择
0x04	2	R/W	通道2选择
0x05	2	R/W	通道3选择
0x06	2	R/W	通道4选择
0x07	2	R/W	-
0x08	2	R	采样计数
0x09	2	R	实时数据1
0x0A	2	R	实时数据2

2.21 0x2030 - 卡尔曼滤波器参数
子索引	数据长度	访问	描述
0x01	2	R/W	R参数
0x02	2	R/W	Q00参数
0x03	2	R/W	Q11参数
0x04	2	R/W	lamda参数
0x05	2	R/W	gama参数

2.22 0x2031 - PVT快速停止参数
子索引	数据长度	访问	描述
0x01	2	R/W	快速停止Kp
0x02	2	R/W	快速停止Kd

2.23 0x2032 - CAN PDO配置
子索引	数据长度	访问	描述
0x01	2	R/W	PDO选择
0x02	2	R/W	PDO传输类型

2.24 0x2033 - 设备信息
子索引	数据长度	访问	描述
0x01	2	R	关节类型
0x02	2	R	固件版本
0x03	2	R	硬件版本

2.25 0x2034 - 扭矩传感器参数
子索引	数据长度	访问	描述
0x01	2	R/W	增益
0x02	2	R/W	灵敏度 (SENS)
0x03	2	R/W	R参数
0x04	2	R/W	最大扭矩 (Tmax)

2.26 0x6041 - 状态字 (CiA 402)
子索引	数据长度	访问	描述
0x00	2	R	状态字

2.27 0x605A - 快速停止选项代码
子索引	数据长度	访问	描述
0x00	2	R/W	快速停止选项代码

2.28 0x605B - 关闭选项代码
子索引	数据长度	访问	描述
0x00	2	R/W	关闭选项代码

2.29 0x605C - 禁用操作选项代码
子索引	数据长度	访问	描述
0x00	2	R/W	禁用操作选项代码

2.30 0x6061 - 操作模式显示
子索引	数据长度	访问	描述
0x00	2	R	操作模式显示

2.31 0x6072 - 最大速度
子索引	数据长度	访问	描述
0x00	2	R/W	最大速度

2.32 0x6073 - 最大电流
子索引	数据长度	访问	描述
0x00	2	R/W	最大电流

2.33 0x607B - 位置范围限制
子索引	数据长度	访问	描述
0x01	4	R/W	最小位置范围
0x02	4	R/W	最大位置范围

2.34 0x607D - 位置窗口
子索引	数据长度	访问	描述
0x01	4	R/W	位置窗口
0x02	4	R/W	位置窗口时间

2.35 0x607F - 最大跟随误差
子索引	数据长度	访问	描述
0x00	4	R/W	最大跟随误差

2.36 0x6080 - 最大电机速度
子索引	数据长度	访问	描述
0x00	4	R/W	最大电机速度

2.37 0x6081 - 电机速度
子索引	数据长度	访问	描述
0x00	4	R/W	电机速度

2.38 0x6083 - 速度限制
子索引	数据长度	访问	描述
0x00	4	R/W	速度限制

2.39 0x6084 - 速度实际值
子索引	数据长度	访问	描述
0x00	4	R/W	速度实际值

2.40 0x6087 - 扭矩斜坡
子索引	数据长度	访问	描述
0x00	4	R/W	扭矩斜坡

2.41 0x6091 - 速度环位置因子
子索引	数据长度	访问	描述
0x01	4	R/W	速度环位置因子

3. 常用操作模式
3.1 控制命令 (0x2011:0x01)
0x0000: 无操作
0x0001: 使能
0x0002: 禁用
0x0003: 快速停止
